CASEID,DIARYDAY,TRAVEL_DUR,TRAVEL_WORK_DUR,TRAVEL_SOCO_DUR,TRAVEL_ENT_DUR,TRAVEL_EXE_DUR,OTHER_TRAVEL_DUR,EXE_DUR,ALONE_EXE_DUR,GROUP_EXE_DUR,INT_DUR,ALONE_INT_DUR,GROUP_INT_DUR,WORK_DUR,ALONE_WORK_DUR,GROUP_WORK_DUR,LEI_DUR,ALONE_LEI_DUR,GROUP_LEI_DUR,SLEEP_DUR,OTHER_DUR,AGE,SEX,EDU,EMP_STAT,HOUSE,INC,CHILDREN,ADULT
2.02E+13,4,70,10,0,0,0,60,0,0,0,0,0,0,495,0,495,50,30,20,530,295,35,2,39,1,1,13,3,1
2.02E+13,4,79,5,0,0,0,74,0,0,0,15,15,0,515,0,515,214,0,214,500,117,23,2,43,1,1,13,0,2
2.02E+13,2,54,0,0,0,0,54,0,0,0,0,0,0,0,0,0,618,72,546,568,200,65,1,41,5,1,13,0,2
2.02E+13,2,30,30,0,0,0,0,0,0,0,30,0,30,525,45,480,120,0,120,555,180,39,1,44,1,1,14,3,2
2.02E+13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260,1260,0,110,70,67,1,41,4,1,4,0,1
2.02E+13,3,124,40,0,0,0,84,0,0,0,0,0,0,289,0,289,0,0,0,480,547,50,2,43,1,1,8,0,3
2.02E+13,1,20,0,0,0,10,10,85,85,0,30,30,0,0,0,0,235,235,0,595,475,36,1,44,1,1,16,0,1
2.02E+13,4,47,47,0,0,0,0,0,0,0,0,0,0,703,0,703,170,170,0,440,80,46,1,39,1,1,11,0,1
2.02E+13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0,390,570,480,54,2,42,1,1,15,0,2
2.02E+13,1,60,0,0,0,0,60,0,0,0,0,0,0,0,0,0,710,170,540,530,140,66,2,39,1,1,14,0,2
2.02E+13,3,169,145,0,0,0,24,0,0,0,0,0,0,480,10,470,324,324,0,150,317,58,2,40,1,5,12,1,2
2.02E+13,3,40,0,40,0,0,0,0,0,0,80,80,0,415,415,0,250,0,250,600,55,26,2,43,1,1,6,0,1
2.02E+13,1,0,0,0,0,0,0,30,0,30,120,0,120,0,0,0,530,0,530,420,340,30,2,43,5,1,13,2,2
2.02E+13,6,180,0,0,0,0,180,135,135,0,0,0,0,0,0,0,239,74,165,584,302,71,1,43,5,1,14,0,3
2.02E+13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,720,61,1,40,2,12,1,0,1
2.02E+13,3,70,60,0,0,0,10,0,0,0,0,0,0,240,240,0,180,0,180,495,455,28,1,44,1,1,15,1,2
2.02E+13,7,0,0,0,0,0,0,0,0,0,240,240,0,0,0,0,0,0,0,850,350,57,1,44,5,1,15,0,3
2.02E+13,1,0,0,0,0,0,0,0,0,0,60,60,0,0,0,0,620,410,210,600,160,58,2,40,5,1,9,0,2
2.02E+13,1,410,0,5,0,0,405,0,0,0,0,0,0,0,0,0,370,60,310,550,110,32,2,43,2,1,15,0,2
2.02E+13,7,20,0,0,0,0,20,0,0,0,70,70,0,0,0,0,755,755,0,415,180,67,2,40,5,6,7,0,1
2.02E+13,1,125,0,0,0,0,125,0,0,0,0,0,0,0,0,0,270,0,270,555,490,37,1,44,1,1,16,3,2
2.02E+13,7,44,0,0,0,4,40,120,120,0,90,0,90,0,0,0,120,0,120,769,297,27,1,43,1,1,13,0,2
2.02E+13,3,133,0,0,0,0,133,75,75,0,0,0,0,0,0,0,30,30,0,538,664,37,2,43,4,1,16,2,2
2.02E+13,2,10,0,0,0,10,0,60,0,60,240,240,0,0,0,0,405,0,405,525,200,73,2,44,5,1,16,0,2
2.02E+13,7,10,0,10,0,0,0,60,60,0,0,0,0,0,0,0,240,120,120,560,570,61,2,43,5,1,15,0,3
2.02E+13,3,60,60,0,0,0,0,0,0,0,0,0,0,570,0,570,90,90,0,405,315,52,2,46,1,1,16,0,5
2.02E+13,3,35,35,0,0,0,0,0,0,0,60,0,60,435,0,435,140,0,140,505,265,36,1,43,1,1,16,2,2
2.02E+13,1,60,0,0,0,0,60,0,0,0,0,0,0,0,0,0,120,0,120,665,595,47,1,40,1,1,13,3,2
2.02E+13,7,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,533,180,353,540,342,60,1,41,1,1,13,0,2
2.02E+13,4,20,20,0,0,0,0,0,0,0,0,0,0,465,0,465,310,0,310,510,135,60,1,43,1,1,15,0,2
2.02E+13,2,99,0,0,0,0,99,75,30,45,0,0,0,0,0,0,75,0,75,600,591,66,2,43,5,1,6,0,2
2.02E+13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,480,180,570,210,73,2,42,5,1,16,0,2
2.02E+13,1,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,600,600,0,697,138,72,2,39,5,1,3,0,1
2.02E+13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,90,390,360,600,80,1,43,5,1,8,0,2
2.02E+13,2,30,0,0,0,0,30,30,0,30,45,45,0,0,0,0,75,0,75,605,655,61,2,39,5,1,13,0,2
2.02E+13,7,60,0,0,0,0,60,0,0,0,0,0,0,0,0,0,630,0,630,480,270,60,1,46,5,1,4,0,2
2.02E+13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,1140,64,2,43,1,1,15,0,2
